year,region,elo,ppp,FoulsC,FoulsR,GoalsFor,GoalsAgainst,YellowCards,DoubleYellow,RedCards,rank,confederation,UEFA
2014,italy,15,2063538.66,41,49,2,3,3,0,1,9,UEFA,1
2014,ivory coast,15,68822.79,49,36,4,5,7,0,0,23,CAF,0
2014,japan,12,4752144.41,46,47,2,6,4,0,0,46,AFC,0
2014,mexico,27,2064885.6,53,50,5,3,8,0,0,20,CONCACAF,0
2014,netherlands,57,770198.63,126,82,15,4,11,0,0,15,UEFA,1
2014,nigeria,21,1000866.43,57,43,3,5,3,0,0,44,CAF,0
2014,portugal,18,270674.09,46,35,4,7,2,0,1,4,UEFA,1
2014,russia,15,3693840.7,38,34,2,3,4,0,0,19,UEFA,1
2014,south korea,12,1696242.07,36,42,3,6,6,0,0,57,AFC,0
2014,spain,15,1449989.95,28,45,4,7,3,0,0,1,UEFA,1
2014,switzerland,24,468538.35,67,65,7,7,3,0,0,6,UEFA,1
2014,uk,12,2471569.19,37,44,2,4,4,0,0,10,UEFA,1
2014,united states,21,16543513.85,49,56,5,6,4,0,0,13,CONCACAF,0
2014,uruguay,24,67801.27,74,63,4,6,8,0,1,7,CONMEBOL,0
2018,argentina,21,920247.93,55,75,6,9,11,0,0,5,CONMEBOL,0
2018,australia,12,1192065.51,37,30,2,5,7,0,0,36,AFC,0
2018,belgium,57,544041.97,99,75,16,6,11,0,0,3,UEFA,1
2018,brazil,27,3240523.6,50,73,8,3,7,0,0,2,CONMEBOL,0
2018,colombia,27,714003.25,63,52,6,3,9,0,1,16,CONMEBOL,0
2018,costa rica,12,83614.85,43,35,2,5,6,0,0,23,CONCACAF,0
2018,croatia,51,104233.49,114,105,14,9,15,0,0,20,UEFA,1
2018,denmark,27,296350.72,54,28,3,2,6,0,0,12,UEFA,1
2018,egypt,9,1129918.54,38,21,2,6,5,0,0,45,CAF,0
2018,france,60,2876059.99,93,103,14,6,12,0,0,7,UEFA,1
2018,germany,15,4187583.09,29,39,2,4,2,1,0,1,UEFA,1
2018,iceland,12,18140.17,35,27,2,5,3,0,0,22,UEFA,1
2018,iran,18,1700355.86,44,45,2,2,7,0,0,37,AFC,0
2018,japan,21,5487161.16,37,48,6,7,5,0,0,61,AFC,0
2018,mexico,24,2358275.52,54,47,3,6,9,0,0,15,CONCACAF,0
2018,morocco,12,298229.65,62,36,2,4,8,0,0,41,CAF,0
2018,nigeria,15,1118755.47,45,44,3,4,4,0,0,48,CAF,0
2018,panama,9,100193.94,49,48,2,11,11,0,0,55,CONCACAF,0
2018,peru,15,432115.17,37,38,2,2,5,0,0,11,CONMEBOL,0
2018,poland,15,1102293.08,31,33,2,5,3,0,0,8,UEFA,1
2018,portugal,24,326029.98,55,59,6,6,7,0,0,4,UEFA,1
2018,russia,33,3817201.36,95,56,11,7,6,1,0,70,UEFA,1
2018,saudi arabia,15,1773549.39,30,45,2,7,1,0,0,67,AFC,0
2018,senegal,18,42992.09,44,30,4,4,6,0,0,27,CAF,0
2018,serbia,21,105966.21,45,37,2,4,9,0,0,34,UEFA,1
2018,south korea,15,1972970.74,63,33,3,3,10,0,0,57,AFC,0
2018,spain,27,1769637.04,34,59,7,6,2,0,0,10,UEFA,1
2018,sweden,33,505482.95,65,64,6,4,8,0,0,24,UEFA,1
2018,switzerland,27,547853.97,53,53,5,5,9,0,1,6,UEFA,1
2018,tunisia,15,137358.62,46,35,5,8,4,0,0,21,CAF,0
2018,uk,42,2856703.44,72,100,12,8,8,0,0,12,UEFA,1
2018,uruguay,39,77992.79,63,69,7,3,3,0,0,14,CONMEBOL,0
